ts_unix,ts_brt,progress,delta_s
1777741225.2355485,2026-05-02T14:00:25.235548,0,0.0
1777741225.448168,2026-05-02T14:00:25.448168,96,0.213
1777741225.5493493,2026-05-02T14:00:25.549349,97,0.101
1777741225.6415355,2026-05-02T14:00:25.641536,98,0.092
1777741225.7121942,2026-05-02T14:00:25.712194,99,0.071
1777741225.779841,2026-05-02T14:00:25.779841,99,0.068
1777741226.1393733,2026-05-02T14:00:26.139373,99,0.36
1777741226.5224023,2026-05-02T14:00:26.522402,99,0.383
1777741226.89227,2026-05-02T14:00:26.892270,99,0.37
1777741227.2523172,2026-05-02T14:00:27.252317,99,0.36
1777741227.6594,2026-05-02T14:00:27.659400,99,0.407
1777741228.0968096,2026-05-02T14:00:28.096810,99,0.437
1777741228.4459438,2026-05-02T14:00:28.445944,99,0.349
1777741228.8631778,2026-05-02T14:00:28.863178,99,0.417
1777741229.2394407,2026-05-02T14:00:29.239441,99,0.376
1777741229.634245,2026-05-02T14:00:29.634245,99,0.395
1777741229.9922328,2026-05-02T14:00:29.992233,99,0.358
1777741230.4109044,2026-05-02T14:00:30.410904,99,0.419
1777741230.7633955,2026-05-02T14:00:30.763396,99,0.352
1777741231.1704042,2026-05-02T14:00:31.170404,99,0.407
1777741231.5492196,2026-05-02T14:00:31.549220,99,0.379
1777741231.9072983,2026-05-02T14:00:31.907298,99,0.358
1777741232.3073115,2026-05-02T14:00:32.307312,99,0.4
1777741232.7595704,2026-05-02T14:00:32.759570,99,0.452
1777741233.1456246,2026-05-02T14:00:33.145625,99,0.386
1777741233.5382116,2026-05-02T14:00:33.538212,99,0.393
1777741233.8970022,2026-05-02T14:00:33.897002,99,0.359
1777741234.2978482,2026-05-02T14:00:34.297848,99,0.401
1777741234.6562135,2026-05-02T14:00:34.656214,99,0.358
1777741235.0015974,2026-05-02T14:00:35.001597,99,0.345
1777741235.4007294,2026-05-02T14:00:35.400729,99,0.399
1777741235.7980554,2026-05-02T14:00:35.798055,99,0.397
1777741236.1762831,2026-05-02T14:00:36.176283,99,0.378
1777741236.5255823,2026-05-02T14:00:36.525582,99,0.349
1777741236.88314,2026-05-02T14:00:36.883140,99,0.358
1777741237.253418,2026-05-02T14:00:37.253418,99,0.37
1777741237.6170647,2026-05-02T14:00:37.617065,99,0.364
1777741237.862139,2026-05-02T14:00:37.862139,99,0.245
