ts_unix,ts_brt,progress,delta_s
1777739787.0722446,2026-05-02T13:36:27.072245,0,0.0
1777739787.1085966,2026-05-02T13:36:27.108597,74,0.036
1777739787.2058315,2026-05-02T13:36:27.205832,75,0.097
1777739787.3183637,2026-05-02T13:36:27.318364,76,0.113
1777739787.3949094,2026-05-02T13:36:27.394909,77,0.077
1777739787.4242954,2026-05-02T13:36:27.424295,77,0.029
1777739787.4449494,2026-05-02T13:36:27.444949,94,0.021
1777739787.52832,2026-05-02T13:36:27.528320,95,0.083
1777739787.6806812,2026-05-02T13:36:27.680681,96,0.152
1777739787.8153572,2026-05-02T13:36:27.815357,96,0.135
1777739788.1993506,2026-05-02T13:36:28.199351,96,0.384
1777739788.6048455,2026-05-02T13:36:28.604846,96,0.405
1777739788.9627855,2026-05-02T13:36:28.962785,96,0.358
1777739789.3328686,2026-05-02T13:36:29.332869,96,0.37
1777739789.6858144,2026-05-02T13:36:29.685814,96,0.353
1777739790.0850632,2026-05-02T13:36:30.085063,96,0.399
1777739790.4151633,2026-05-02T13:36:30.415163,96,0.33
1777739790.7647626,2026-05-02T13:36:30.764763,96,0.35
1777739791.1179078,2026-05-02T13:36:31.117908,96,0.353
1777739791.480282,2026-05-02T13:36:31.480282,96,0.362
1777739791.8737426,2026-05-02T13:36:31.873743,96,0.393
1777739792.212857,2026-05-02T13:36:32.212857,96,0.339
1777739792.5742152,2026-05-02T13:36:32.574215,96,0.361
1777739792.9578722,2026-05-02T13:36:32.957872,96,0.384
1777739793.3295262,2026-05-02T13:36:33.329526,96,0.372
1777739793.7222292,2026-05-02T13:36:33.722229,96,0.393
1777739794.056594,2026-05-02T13:36:34.056594,96,0.334
1777739794.4589105,2026-05-02T13:36:34.458910,96,0.402
1777739794.8046527,2026-05-02T13:36:34.804653,96,0.346
1777739795.1488051,2026-05-02T13:36:35.148805,96,0.344
1777739795.4827178,2026-05-02T13:36:35.482718,96,0.334
1777739795.8763099,2026-05-02T13:36:35.876310,96,0.394
1777739796.2623656,2026-05-02T13:36:36.262366,96,0.386
1777739796.5467238,2026-05-02T13:36:36.546724,96,0.284
1777739915.7301223,2026-05-02T13:38:35.730122,100,119.183
