ts_unix,ts_brt,progress,delta_s
1777741594.487744,2026-05-02T14:06:34.487744,0,0.0
1777741594.5242527,2026-05-02T14:06:34.524253,74,0.037
1777741594.6295254,2026-05-02T14:06:34.629525,75,0.105
1777741594.739341,2026-05-02T14:06:34.739341,76,0.11
1777741594.8205214,2026-05-02T14:06:34.820521,77,0.081
1777741594.8530972,2026-05-02T14:06:34.853097,77,0.033
1777741594.901155,2026-05-02T14:06:34.901155,94,0.048
1777741594.9926968,2026-05-02T14:06:34.992697,95,0.092
1777741595.1357944,2026-05-02T14:06:35.135794,96,0.143
1777741595.2343283,2026-05-02T14:06:35.234328,96,0.099
1777741595.5844057,2026-05-02T14:06:35.584406,96,0.35
1777741595.9588058,2026-05-02T14:06:35.958806,96,0.374
1777741596.3192537,2026-05-02T14:06:36.319254,96,0.36
1777741596.7021601,2026-05-02T14:06:36.702160,96,0.383
1777741597.0674608,2026-05-02T14:06:37.067461,96,0.365
1777741597.500711,2026-05-02T14:06:37.500711,96,0.433
1777741597.8904312,2026-05-02T14:06:37.890431,96,0.39
1777741598.2539206,2026-05-02T14:06:38.253921,96,0.363
1777741598.637741,2026-05-02T14:06:38.637741,96,0.384
1777741599.019559,2026-05-02T14:06:39.019559,96,0.382
1777741599.4461987,2026-05-02T14:06:39.446199,96,0.427
1777741599.802993,2026-05-02T14:06:39.802993,96,0.357
1777741600.2078311,2026-05-02T14:06:40.207831,96,0.405
1777741600.5640347,2026-05-02T14:06:40.564035,96,0.356
1777741600.916208,2026-05-02T14:06:40.916208,96,0.352
1777741601.2842383,2026-05-02T14:06:41.284238,96,0.368
1777741601.6662319,2026-05-02T14:06:41.666232,96,0.382
1777741602.0964394,2026-05-02T14:06:42.096439,96,0.43
1777741602.481566,2026-05-02T14:06:42.481566,96,0.385
1777741602.8803234,2026-05-02T14:06:42.880323,96,0.399
1777741603.25855,2026-05-02T14:06:43.258550,96,0.378
1777741603.6434727,2026-05-02T14:06:43.643473,96,0.385
1777741604.0273435,2026-05-02T14:06:44.027344,96,0.384
1777741604.3890777,2026-05-02T14:06:44.389078,96,0.362
