ts_unix,ts_brt,progress,delta_s
1777743189.657776,2026-05-02T14:33:09.657776,0,0.0
1777743189.7219353,2026-05-02T14:33:09.721935,74,0.064
1777743189.8256462,2026-05-02T14:33:09.825646,75,0.104
1777743189.948045,2026-05-02T14:33:09.948045,76,0.122
1777743190.0494206,2026-05-02T14:33:10.049421,77,0.101
1777743190.0899425,2026-05-02T14:33:10.089942,77,0.041
1777743190.1390011,2026-05-02T14:33:10.139001,94,0.049
1777743190.2347584,2026-05-02T14:33:10.234758,95,0.096
1777743190.3888597,2026-05-02T14:33:10.388860,96,0.154
1777743190.4788187,2026-05-02T14:33:10.478819,96,0.09
1777743190.855516,2026-05-02T14:33:10.855516,96,0.377
1777743191.2797325,2026-05-02T14:33:11.279732,96,0.424
1777743191.651686,2026-05-02T14:33:11.651686,96,0.372
1777743192.0377443,2026-05-02T14:33:12.037744,96,0.386
1777743192.4476318,2026-05-02T14:33:12.447632,96,0.41
1777743192.8782146,2026-05-02T14:33:12.878215,96,0.431
1777743193.3140604,2026-05-02T14:33:13.314060,96,0.436
1777743193.6927621,2026-05-02T14:33:13.692762,96,0.379
1777743194.0947335,2026-05-02T14:33:14.094733,96,0.402
1777743194.5101614,2026-05-02T14:33:14.510161,96,0.415
1777743194.975476,2026-05-02T14:33:14.975476,96,0.465
1777743195.3664622,2026-05-02T14:33:15.366462,96,0.391
1777743195.8504484,2026-05-02T14:33:15.850448,96,0.484
1777743196.2510078,2026-05-02T14:33:16.251008,96,0.401
1777743196.66223,2026-05-02T14:33:16.662230,96,0.411
1777743197.0517716,2026-05-02T14:33:17.051772,96,0.39
1777743197.4322762,2026-05-02T14:33:17.432276,96,0.381
1777743197.8854415,2026-05-02T14:33:17.885442,96,0.453
1777743198.277466,2026-05-02T14:33:18.277466,96,0.392
1777743198.669526,2026-05-02T14:33:18.669526,96,0.392
1777743199.0435753,2026-05-02T14:33:19.043575,96,0.374
1777743199.4593866,2026-05-02T14:33:19.459387,96,0.416
1777743199.9064362,2026-05-02T14:33:19.906436,96,0.447
1777743200.2272375,2026-05-02T14:33:20.227237,96,0.321
1777743487.939249,2026-05-02T14:38:07.939249,100,287.712
