ts_unix,ts_brt,progress,delta_s
1777817353.1607075,2026-05-03T11:09:13.160707,0,0.0
1777817353.1935942,2026-05-03T11:09:13.193594,75,0.033
1777817353.2323449,2026-05-03T11:09:13.232345,76,0.039
1777817353.2547522,2026-05-03T11:09:13.254752,77,0.022
1777817353.270895,2026-05-03T11:09:13.270895,78,0.016
1777817353.2942617,2026-05-03T11:09:13.294262,79,0.023
1777817353.3202372,2026-05-03T11:09:13.320237,80,0.026
1777817353.3400447,2026-05-03T11:09:13.340045,81,0.02
1777817353.3663993,2026-05-03T11:09:13.366399,82,0.026
1777817353.3915648,2026-05-03T11:09:13.391565,83,0.025
1777817353.4032507,2026-05-03T11:09:13.403251,84,0.012
1777817353.4143484,2026-05-03T11:09:13.414348,85,0.011
1777817353.4267976,2026-05-03T11:09:13.426798,86,0.012
1777817353.4359975,2026-05-03T11:09:13.435997,87,0.009
1777817353.4540257,2026-05-03T11:09:13.454026,88,0.018
1777817353.4692073,2026-05-03T11:09:13.469207,89,0.015
1777817353.4786918,2026-05-03T11:09:13.478692,90,0.009
1777817353.4843462,2026-05-03T11:09:13.484346,91,0.006
1777817353.4922075,2026-05-03T11:09:13.492208,92,0.008
1777817353.4987822,2026-05-03T11:09:13.498782,93,0.007
1777817353.5052795,2026-05-03T11:09:13.505280,94,0.006
1777817353.5201066,2026-05-03T11:09:13.520107,95,0.015
1777817353.5249052,2026-05-03T11:09:13.524905,96,0.005
1777817353.5302248,2026-05-03T11:09:13.530225,97,0.005
1777817353.539124,2026-05-03T11:09:13.539124,98,0.009
1777817353.546862,2026-05-03T11:09:13.546862,99,0.008
1777817353.5503488,2026-05-03T11:09:13.550349,99,0.003
1777817353.9349031,2026-05-03T11:09:13.934903,99,0.385
1777817354.3259158,2026-05-03T11:09:14.325916,99,0.391
1777817354.7195067,2026-05-03T11:09:14.719507,99,0.394
1777817355.1180816,2026-05-03T11:09:15.118082,99,0.399
1777817355.4908934,2026-05-03T11:09:15.490893,99,0.373
1777817355.8523762,2026-05-03T11:09:15.852376,99,0.361
1777817356.235015,2026-05-03T11:09:16.235015,99,0.383
1777817356.6235406,2026-05-03T11:09:16.623541,99,0.389
1777817356.986066,2026-05-03T11:09:16.986066,99,0.363
1777817357.2329884,2026-05-03T11:09:17.232988,99,0.247
1777817455.743656,2026-05-03T11:10:55.743656,100,98.511
