ts_unix,ts_brt,progress,delta_s
1777816383.3938808,2026-05-03T10:53:03.393881,0,0.0
1777816383.4267213,2026-05-03T10:53:03.426721,67,0.033
1777816383.5672154,2026-05-03T10:53:03.567215,68,0.14
1777816383.633266,2026-05-03T10:53:03.633266,69,0.066
1777816383.7068923,2026-05-03T10:53:03.706892,70,0.074
1777816383.7796085,2026-05-03T10:53:03.779608,70,0.073
1777816383.8005698,2026-05-03T10:53:03.800570,93,0.021
1777816383.8295658,2026-05-03T10:53:03.829566,94,0.029
1777816384.0054977,2026-05-03T10:53:04.005498,95,0.176
1777816384.1484714,2026-05-03T10:53:04.148471,96,0.143
1777816384.155131,2026-05-03T10:53:04.155131,96,0.007
1777816384.5360947,2026-05-03T10:53:04.536095,96,0.381
1777816384.9038794,2026-05-03T10:53:04.903879,96,0.368
1777816385.3211598,2026-05-03T10:53:05.321160,96,0.417
1777816385.7221699,2026-05-03T10:53:05.722170,96,0.401
1777816386.0823622,2026-05-03T10:53:06.082362,96,0.36
1777816386.4815536,2026-05-03T10:53:06.481554,96,0.399
1777816386.853288,2026-05-03T10:53:06.853288,96,0.372
1777816387.219631,2026-05-03T10:53:07.219631,96,0.366
1777816387.6922426,2026-05-03T10:53:07.692243,96,0.473
1777816388.124319,2026-05-03T10:53:08.124319,96,0.432
1777816388.5468788,2026-05-03T10:53:08.546879,96,0.423
1777816388.910082,2026-05-03T10:53:08.910082,96,0.363
1777816389.1416402,2026-05-03T10:53:09.141640,96,0.232
1777816517.2128825,2026-05-03T10:55:17.212883,100,128.071
