ts_unix,ts_brt,progress,delta_s
1777816048.5114887,2026-05-03T10:47:28.511489,0,0.0
1777816048.5606992,2026-05-03T10:47:28.560699,67,0.049
1777816048.6649573,2026-05-03T10:47:28.664957,68,0.104
1777816048.7223966,2026-05-03T10:47:28.722397,69,0.057
1777816048.787029,2026-05-03T10:47:28.787029,70,0.065
1777816048.8375807,2026-05-03T10:47:28.837581,70,0.051
1777816048.8596334,2026-05-03T10:47:28.859633,93,0.022
1777816048.8867326,2026-05-03T10:47:28.886733,94,0.027
1777816049.0415924,2026-05-03T10:47:29.041592,95,0.155
1777816049.1633646,2026-05-03T10:47:29.163365,96,0.122
1777816049.1675136,2026-05-03T10:47:29.167514,96,0.004
1777816049.494532,2026-05-03T10:47:29.494532,96,0.327
1777816049.8115556,2026-05-03T10:47:29.811556,96,0.317
1777816050.2265832,2026-05-03T10:47:30.226583,96,0.415
1777816050.606981,2026-05-03T10:47:30.606981,96,0.38
1777816050.9632938,2026-05-03T10:47:30.963294,96,0.356
1777816051.3081994,2026-05-03T10:47:31.308199,96,0.345
1777816051.672954,2026-05-03T10:47:31.672954,96,0.365
1777816052.0328243,2026-05-03T10:47:32.032824,96,0.36
1777816052.4661338,2026-05-03T10:47:32.466134,96,0.433
1777816052.824156,2026-05-03T10:47:32.824156,96,0.358
1777816053.175646,2026-05-03T10:47:33.175646,96,0.351
1777816053.5516229,2026-05-03T10:47:33.551623,96,0.376
1777816053.7943165,2026-05-03T10:47:33.794317,96,0.243
