ts_unix,ts_brt,progress,delta_s
1777743613.1140137,2026-05-02T14:40:13.114014,0,0.0
1777743613.3022964,2026-05-02T14:40:13.302296,73,0.188
1777743613.3262823,2026-05-02T14:40:13.326282,74,0.024
1777743613.3640296,2026-05-02T14:40:13.364030,75,0.038
1777743613.376579,2026-05-02T14:40:13.376579,76,0.013
1777743613.4286003,2026-05-02T14:40:13.428600,77,0.052
1777743613.4542756,2026-05-02T14:40:13.454276,78,0.026
1777743613.482848,2026-05-02T14:40:13.482848,79,0.029
1777743613.5178916,2026-05-02T14:40:13.517892,80,0.035
1777743613.5444243,2026-05-02T14:40:13.544424,81,0.027
1777743613.5656717,2026-05-02T14:40:13.565672,82,0.021
1777743613.5795994,2026-05-02T14:40:13.579599,83,0.014
1777743613.5955634,2026-05-02T14:40:13.595563,84,0.016
1777743613.6017275,2026-05-02T14:40:13.601727,85,0.006
1777743613.6095614,2026-05-02T14:40:13.609561,86,0.008
1777743613.6433144,2026-05-02T14:40:13.643314,87,0.034
1777743613.6588995,2026-05-02T14:40:13.658900,88,0.016
1777743613.673807,2026-05-02T14:40:13.673807,89,0.015
1777743613.6842859,2026-05-02T14:40:13.684286,90,0.01
1777743613.6971502,2026-05-02T14:40:13.697150,91,0.013
1777743613.7153268,2026-05-02T14:40:13.715327,92,0.018
1777743613.7515316,2026-05-02T14:40:13.751532,93,0.036
1777743613.7595193,2026-05-02T14:40:13.759519,94,0.008
1777743613.7679708,2026-05-02T14:40:13.767971,95,0.008
1777743613.7784524,2026-05-02T14:40:13.778452,96,0.01
1777743613.786204,2026-05-02T14:40:13.786204,97,0.008
1777743613.793574,2026-05-02T14:40:13.793574,98,0.007
1777743613.7989335,2026-05-02T14:40:13.798934,99,0.005
1777743613.8051095,2026-05-02T14:40:13.805110,99,0.006
1777743614.327435,2026-05-02T14:40:14.327435,99,0.522
1777743614.8411953,2026-05-02T14:40:14.841195,99,0.514
1777743615.4304445,2026-05-02T14:40:15.430444,99,0.589
1777743615.971498,2026-05-02T14:40:15.971498,99,0.541
1777743616.5003202,2026-05-02T14:40:16.500320,99,0.529
1777743616.878315,2026-05-02T14:40:16.878315,99,0.378
1777743616.9750423,2026-05-02T14:40:16.975042,99,0.097
1777743688.9034042,2026-05-02T14:41:28.903404,100,71.928
