ts_unix,ts_brt,progress,delta_s
1777743956.362043,2026-05-02T14:45:56.362043,0,0.0
1777743956.3936672,2026-05-02T14:45:56.393667,75,0.032
1777743956.4321823,2026-05-02T14:45:56.432182,76,0.039
1777743956.4555573,2026-05-02T14:45:56.455557,77,0.023
1777743956.4728758,2026-05-02T14:45:56.472876,78,0.017
1777743956.4857616,2026-05-02T14:45:56.485762,79,0.013
1777743956.5097728,2026-05-02T14:45:56.509773,80,0.024
1777743956.5351634,2026-05-02T14:45:56.535163,81,0.025
1777743956.561819,2026-05-02T14:45:56.561819,82,0.027
1777743956.5840197,2026-05-02T14:45:56.584020,83,0.022
1777743956.5949824,2026-05-02T14:45:56.594982,84,0.011
1777743956.6094723,2026-05-02T14:45:56.609472,85,0.014
1777743956.6227505,2026-05-02T14:45:56.622751,86,0.013
1777743956.6335542,2026-05-02T14:45:56.633554,87,0.011
1777743956.656381,2026-05-02T14:45:56.656381,88,0.023
1777743956.6718798,2026-05-02T14:45:56.671880,89,0.015
1777743956.6837513,2026-05-02T14:45:56.683751,90,0.012
1777743956.6907136,2026-05-02T14:45:56.690714,91,0.007
1777743956.6995654,2026-05-02T14:45:56.699565,92,0.009
1777743956.7086346,2026-05-02T14:45:56.708635,93,0.009
1777743956.7156875,2026-05-02T14:45:56.715688,94,0.007
1777743956.733364,2026-05-02T14:45:56.733364,95,0.018
1777743956.7376168,2026-05-02T14:45:56.737617,96,0.004
1777743956.7445385,2026-05-02T14:45:56.744539,97,0.007
1777743956.7558842,2026-05-02T14:45:56.755884,98,0.011
1777743956.7645707,2026-05-02T14:45:56.764571,99,0.009
1777743956.7715847,2026-05-02T14:45:56.771585,99,0.007
1777743957.2144465,2026-05-02T14:45:57.214447,99,0.443
1777743957.5806146,2026-05-02T14:45:57.580615,99,0.366
1777743957.9619467,2026-05-02T14:45:57.961947,99,0.381
1777743958.3983927,2026-05-02T14:45:58.398393,99,0.436
1777743958.805756,2026-05-02T14:45:58.805756,99,0.407
1777743959.1732683,2026-05-02T14:45:59.173268,99,0.368
1777743959.5381792,2026-05-02T14:45:59.538179,99,0.365
1777743959.9191535,2026-05-02T14:45:59.919153,99,0.381
1777743960.3470137,2026-05-02T14:46:00.347014,99,0.428
1777743960.630225,2026-05-02T14:46:00.630225,99,0.283
