ts_unix,ts_brt,progress,delta_s
1777815480.5606613,2026-05-03T10:38:00.560661,0,0.0
1777815480.619084,2026-05-03T10:38:00.619084,75,0.058
1777815480.6692111,2026-05-03T10:38:00.669211,76,0.05
1777815480.8199227,2026-05-03T10:38:00.819923,77,0.151
1777815480.9215019,2026-05-03T10:38:00.921502,78,0.102
1777815481.030602,2026-05-03T10:38:01.030602,79,0.109
1777815481.1655176,2026-05-03T10:38:01.165518,80,0.135
1777815481.2916787,2026-05-03T10:38:01.291679,81,0.126
1777815481.478763,2026-05-03T10:38:01.478763,82,0.187
1777815481.5736651,2026-05-03T10:38:01.573665,83,0.095
1777815481.6204102,2026-05-03T10:38:01.620410,84,0.047
1777815481.686105,2026-05-03T10:38:01.686105,85,0.066
1777815481.7434642,2026-05-03T10:38:01.743464,86,0.057
1777815481.7897706,2026-05-03T10:38:01.789771,87,0.046
1777815481.8633459,2026-05-03T10:38:01.863346,88,0.074
1777815481.932382,2026-05-03T10:38:01.932382,89,0.069
1777815482.0093756,2026-05-03T10:38:02.009376,90,0.077
1777815482.0265572,2026-05-03T10:38:02.026557,91,0.017
1777815482.05358,2026-05-03T10:38:02.053580,92,0.027
1777815482.0856283,2026-05-03T10:38:02.085628,93,0.032
1777815482.134489,2026-05-03T10:38:02.134489,94,0.049
1777815482.1826735,2026-05-03T10:38:02.182673,95,0.048
1777815482.226354,2026-05-03T10:38:02.226354,96,0.044
1777815482.2445605,2026-05-03T10:38:02.244560,97,0.018
1777815482.2898684,2026-05-03T10:38:02.289868,98,0.045
1777815482.338773,2026-05-03T10:38:02.338773,99,0.049
1777815482.3528023,2026-05-03T10:38:02.352802,99,0.014
1777815484.109856,2026-05-03T10:38:04.109856,99,1.757
1777815485.6929843,2026-05-03T10:38:05.692984,99,1.583
1777815487.2889013,2026-05-03T10:38:07.288901,99,1.596
1777815489.1748729,2026-05-03T10:38:09.174873,99,1.886
1777815491.0361097,2026-05-03T10:38:11.036110,99,1.861
1777815492.7858658,2026-05-03T10:38:12.785866,99,1.75
1777815494.5882566,2026-05-03T10:38:14.588257,99,1.802
1777815495.848049,2026-05-03T10:38:15.848049,99,1.26
1777815496.276726,2026-05-03T10:38:16.276726,99,0.429
1777815496.5410721,2026-05-03T10:38:16.541072,99,0.264
