ts_unix,ts_brt,progress,delta_s
1777743844.0244768,2026-05-02T14:44:04.024477,0,0.0
1777743844.0563035,2026-05-02T14:44:04.056304,73,0.032
1777743844.0605533,2026-05-02T14:44:04.060553,74,0.004
1777743844.1132774,2026-05-02T14:44:04.113277,75,0.053
1777743844.1410432,2026-05-02T14:44:04.141043,76,0.028
1777743844.1638327,2026-05-02T14:44:04.163833,77,0.023
1777743844.1858118,2026-05-02T14:44:04.185812,78,0.022
1777743844.1966414,2026-05-02T14:44:04.196641,79,0.011
1777743844.2101827,2026-05-02T14:44:04.210183,80,0.014
1777743844.218575,2026-05-02T14:44:04.218575,81,0.008
1777743844.2309198,2026-05-02T14:44:04.230920,82,0.012
1777743844.2372162,2026-05-02T14:44:04.237216,83,0.006
1777743844.2576058,2026-05-02T14:44:04.257606,84,0.02
1777743844.2691028,2026-05-02T14:44:04.269103,85,0.011
1777743844.2751818,2026-05-02T14:44:04.275182,86,0.006
1777743844.280801,2026-05-02T14:44:04.280801,87,0.006
1777743844.2887125,2026-05-02T14:44:04.288713,88,0.008
1777743844.30413,2026-05-02T14:44:04.304130,89,0.015
1777743844.3202152,2026-05-02T14:44:04.320215,90,0.016
1777743844.3361804,2026-05-02T14:44:04.336180,91,0.016
1777743844.3433518,2026-05-02T14:44:04.343352,92,0.007
1777743844.352593,2026-05-02T14:44:04.352593,93,0.009
1777743844.364997,2026-05-02T14:44:04.364997,94,0.012
1777743844.3782327,2026-05-02T14:44:04.378233,95,0.013
1777743844.3828816,2026-05-02T14:44:04.382882,96,0.005
1777743844.3881261,2026-05-02T14:44:04.388126,97,0.005
1777743844.39667,2026-05-02T14:44:04.396670,98,0.009
1777743844.4043393,2026-05-02T14:44:04.404339,99,0.008
1777743844.4122128,2026-05-02T14:44:04.412213,99,0.008
1777743844.7723935,2026-05-02T14:44:04.772393,99,0.36
1777743845.1508424,2026-05-02T14:44:05.150842,99,0.378
1777743845.5120163,2026-05-02T14:44:05.512016,99,0.361
1777743845.8742895,2026-05-02T14:44:05.874290,99,0.362
1777743846.2419097,2026-05-02T14:44:06.241910,99,0.368
1777743846.6176727,2026-05-02T14:44:06.617673,99,0.376
1777743846.8349295,2026-05-02T14:44:06.834929,99,0.217
1777743919.4576964,2026-05-02T14:45:19.457696,100,72.623
