ts_unix,ts_brt,progress,delta_s
1777744078.0053508,2026-05-02T14:47:58.005351,0,0.0
1777744078.0504014,2026-05-02T14:47:58.050401,66,0.045
1777744078.0887241,2026-05-02T14:47:58.088724,67,0.038
1777744078.1087763,2026-05-02T14:47:58.108776,68,0.02
1777744078.1167254,2026-05-02T14:47:58.116725,69,0.008
1777744078.1292875,2026-05-02T14:47:58.129287,70,0.013
1777744078.143536,2026-05-02T14:47:58.143536,71,0.014
1777744078.1500356,2026-05-02T14:47:58.150036,72,0.006
1777744078.1671534,2026-05-02T14:47:58.167153,73,0.017
1777744078.1751144,2026-05-02T14:47:58.175114,74,0.008
1777744078.2023287,2026-05-02T14:47:58.202329,75,0.027
1777744078.2121375,2026-05-02T14:47:58.212137,76,0.01
1777744078.2233498,2026-05-02T14:47:58.223350,77,0.011
1777744078.2380102,2026-05-02T14:47:58.238010,78,0.015
1777744078.2471573,2026-05-02T14:47:58.247157,79,0.009
1777744078.258214,2026-05-02T14:47:58.258214,80,0.011
1777744078.2666664,2026-05-02T14:47:58.266666,81,0.008
1777744078.2748828,2026-05-02T14:47:58.274883,82,0.008
1777744078.290474,2026-05-02T14:47:58.290474,83,0.016
1777744078.3069656,2026-05-02T14:47:58.306966,84,0.016
1777744078.319833,2026-05-02T14:47:58.319833,85,0.013
1777744078.338495,2026-05-02T14:47:58.338495,86,0.019
1777744078.3437352,2026-05-02T14:47:58.343735,87,0.005
1777744078.3537698,2026-05-02T14:47:58.353770,88,0.01
1777744078.362026,2026-05-02T14:47:58.362026,89,0.008
1777744078.3825116,2026-05-02T14:47:58.382512,90,0.02
1777744078.3851085,2026-05-02T14:47:58.385108,91,0.003
1777744078.3902297,2026-05-02T14:47:58.390230,92,0.005
1777744078.3969502,2026-05-02T14:47:58.396950,93,0.007
1777744078.402721,2026-05-02T14:47:58.402721,94,0.006
1777744078.407919,2026-05-02T14:47:58.407919,95,0.005
1777744078.4137015,2026-05-02T14:47:58.413702,96,0.006
1777744078.4181387,2026-05-02T14:47:58.418139,97,0.004
1777744078.4241862,2026-05-02T14:47:58.424186,98,0.006
1777744078.4299684,2026-05-02T14:47:58.429968,99,0.006
1777744078.4340324,2026-05-02T14:47:58.434032,99,0.004
1777744078.8640375,2026-05-02T14:47:58.864038,99,0.43
1777744079.2845654,2026-05-02T14:47:59.284565,99,0.421
1777744079.656608,2026-05-02T14:47:59.656608,99,0.372
1777744080.0469341,2026-05-02T14:48:00.046934,99,0.39
1777744080.415062,2026-05-02T14:48:00.415062,99,0.368
1777744080.6581895,2026-05-02T14:48:00.658190,99,0.243
1777744145.3788831,2026-05-02T14:49:05.378883,100,64.721
