ts_unix,ts_brt,progress,delta_s
1777815259.6082468,2026-05-03T10:34:19.608247,0,0.0
1777815259.6390562,2026-05-03T10:34:19.639056,57,0.031
1777815259.6607547,2026-05-03T10:34:19.660755,58,0.022
1777815259.6744797,2026-05-03T10:34:19.674480,59,0.014
1777815259.67827,2026-05-03T10:34:19.678270,60,0.004
1777815259.6931777,2026-05-03T10:34:19.693178,61,0.015
1777815259.6980846,2026-05-03T10:34:19.698085,62,0.005
1777815259.7026193,2026-05-03T10:34:19.702619,63,0.005
1777815259.716186,2026-05-03T10:34:19.716186,64,0.014
1777815259.7218711,2026-05-03T10:34:19.721871,65,0.006
1777815259.7371771,2026-05-03T10:34:19.737177,66,0.015
1777815259.7472382,2026-05-03T10:34:19.747238,67,0.01
1777815259.755094,2026-05-03T10:34:19.755094,68,0.008
1777815259.7656019,2026-05-03T10:34:19.765602,69,0.011
1777815259.7693534,2026-05-03T10:34:19.769353,70,0.004
1777815259.7746322,2026-05-03T10:34:19.774632,71,0.005
1777815259.7800207,2026-05-03T10:34:19.780021,72,0.005
1777815259.791553,2026-05-03T10:34:19.791553,73,0.012
1777815259.7967165,2026-05-03T10:34:19.796716,74,0.005
1777815259.8031847,2026-05-03T10:34:19.803185,75,0.006
1777815259.8122852,2026-05-03T10:34:19.812285,76,0.009
1777815259.8193007,2026-05-03T10:34:19.819301,77,0.007
1777815259.8270144,2026-05-03T10:34:19.827014,78,0.008
1777815259.840388,2026-05-03T10:34:19.840388,79,0.013
1777815259.845526,2026-05-03T10:34:19.845526,80,0.005
1777815259.852836,2026-05-03T10:34:19.852836,81,0.007
1777815259.8683608,2026-05-03T10:34:19.868361,82,0.016
1777815259.8754647,2026-05-03T10:34:19.875465,83,0.007
1777815259.8831954,2026-05-03T10:34:19.883195,84,0.008
1777815259.8910613,2026-05-03T10:34:19.891061,85,0.008
1777815259.8981526,2026-05-03T10:34:19.898153,86,0.007
1777815259.9052165,2026-05-03T10:34:19.905216,87,0.007
1777815259.9095225,2026-05-03T10:34:19.909523,88,0.004
1777815259.9159017,2026-05-03T10:34:19.915902,89,0.006
1777815259.9220052,2026-05-03T10:34:19.922005,90,0.006
1777815259.9254634,2026-05-03T10:34:19.925463,91,0.003
1777815259.9349244,2026-05-03T10:34:19.934924,92,0.009
1777815259.937239,2026-05-03T10:34:19.937239,93,0.002
1777815259.9405243,2026-05-03T10:34:19.940524,94,0.003
1777815259.9467196,2026-05-03T10:34:19.946720,95,0.006
1777815259.9505167,2026-05-03T10:34:19.950517,96,0.004
1777815259.9554071,2026-05-03T10:34:19.955407,97,0.005
1777815259.9606602,2026-05-03T10:34:19.960660,98,0.005
1777815259.966989,2026-05-03T10:34:19.966989,99,0.006
1777815259.9810255,2026-05-03T10:34:19.981025,99,0.014
1777815260.3290875,2026-05-03T10:34:20.329087,99,0.348
1777815260.675173,2026-05-03T10:34:20.675173,99,0.346
1777815261.0226984,2026-05-03T10:34:21.022698,99,0.348
1777815261.3468874,2026-05-03T10:34:21.346887,99,0.324
1777815261.6724982,2026-05-03T10:34:21.672498,99,0.326
1777815261.7490754,2026-05-03T10:34:21.749075,99,0.077
1777815318.713516,2026-05-03T10:35:18.713516,100,56.964
