ts_unix,ts_brt,progress,delta_s
1777744439.167101,2026-05-02T14:53:59.167101,0,0.0
1777744439.1978827,2026-05-02T14:53:59.197883,65,0.031
1777744439.2162194,2026-05-02T14:53:59.216219,66,0.018
1777744439.2357495,2026-05-02T14:53:59.235749,67,0.02
1777744439.2566903,2026-05-02T14:53:59.256690,68,0.021
1777744439.2699363,2026-05-02T14:53:59.269936,69,0.013
1777744439.2807667,2026-05-02T14:53:59.280767,70,0.011
1777744439.2928665,2026-05-02T14:53:59.292866,71,0.012
1777744439.3073843,2026-05-02T14:53:59.307384,72,0.015
1777744439.316606,2026-05-02T14:53:59.316606,73,0.009
1777744439.3284836,2026-05-02T14:53:59.328484,74,0.012
1777744439.3374155,2026-05-02T14:53:59.337415,75,0.009
1777744439.3547626,2026-05-02T14:53:59.354763,76,0.017
1777744439.367033,2026-05-02T14:53:59.367033,77,0.012
1777744439.3808625,2026-05-02T14:53:59.380862,78,0.014
1777744439.3911998,2026-05-02T14:53:59.391200,79,0.01
1777744439.3992057,2026-05-02T14:53:59.399206,80,0.008
1777744439.4073422,2026-05-02T14:53:59.407342,81,0.008
1777744439.4193535,2026-05-02T14:53:59.419353,82,0.012
1777744439.4275622,2026-05-02T14:53:59.427562,83,0.008
1777744439.436941,2026-05-02T14:53:59.436941,84,0.009
1777744439.442556,2026-05-02T14:53:59.442556,85,0.006
1777744439.4472225,2026-05-02T14:53:59.447222,86,0.005
1777744439.4572072,2026-05-02T14:53:59.457207,87,0.01
1777744439.4645622,2026-05-02T14:53:59.464562,88,0.007
1777744439.4691455,2026-05-02T14:53:59.469146,89,0.005
1777744439.47754,2026-05-02T14:53:59.477540,90,0.008
1777744439.4829931,2026-05-02T14:53:59.482993,91,0.005
1777744439.487115,2026-05-02T14:53:59.487115,92,0.004
1777744439.4908948,2026-05-02T14:53:59.490895,93,0.004
1777744439.4964511,2026-05-02T14:53:59.496451,94,0.006
1777744439.4997451,2026-05-02T14:53:59.499745,95,0.003
1777744439.5035186,2026-05-02T14:53:59.503519,96,0.004
1777744439.5127747,2026-05-02T14:53:59.512775,97,0.009
1777744439.5198925,2026-05-02T14:53:59.519892,98,0.007
1777744439.5240915,2026-05-02T14:53:59.524091,99,0.004
1777744439.5310419,2026-05-02T14:53:59.531042,99,0.007
1777744439.896882,2026-05-02T14:53:59.896882,99,0.366
1777744440.3423557,2026-05-02T14:54:00.342356,99,0.445
1777744440.6905963,2026-05-02T14:54:00.690596,99,0.348
1777744441.0556383,2026-05-02T14:54:01.055638,99,0.365
1777744441.4337254,2026-05-02T14:54:01.433725,99,0.378
1777744441.7462645,2026-05-02T14:54:01.746264,99,0.313
1777744507.0132992,2026-05-02T14:55:07.013299,100,65.267
